Spaceship_Model,Lightyears_Traveled,Type_of_Propulsion,Spacecraft_Maintenance_Contract,Crew_Capacity,Energy_Source,Registration_Code,Galactic_Credits,Downpayment_20_Percent,Downpayment_20_Percent_24_Months,Features_Description,Current_Damages,Modifications,Enchancements,Overheating,Core_Reactor_Anomalies,Power_Cell_Replacement,Viewports_Front_Left,Viewports_Front_Right,Viewports_Rear_Left,Viewports_Rear_Right,Transparent_Armor_Windshield,Transparent_Armor_Backshield,Side_Visual_Enhancer_Lens,Navigation_Lights_Front_Left,Navigation_Lights_Front_Right,Navigation_Lights_Rear_Left,Navigation_Lights_Rear_Right,Atmospheric_Scanner_Lamps,Deceleration_Indicators,Plasma_Thruster_Front_Left_Lifespan,Plasma_Thruster_Front_Right_Lifespan,Plasma_Thruster_Rear_Left_Lifespan,Plasma_Thruster_Rear_Right_Lifespan,Backup_Thruster_Lifespan,Backup_Thruster_Condition,Hatch_Controls_Front_Left,Hatch_Controls_Front_Right,Hatch_Controls_Rear_Left,Hatch_Controls_Rear_Right,Cargo_Bay_Hatch_Controls,Interior_Fabric_Condition,Control_Panel_Condition,Control_Panel_Lights,Audio_System_Condition,Speaker_Condition,Energy_Port_Condition,Climate_Control_Efficiency,Ventilation_System_Strength,Drive_and_Engine_Condition_Hard_Start,Propulsion_Shift_Delay,Unusual_Spacecraft_Sounds,Source_of_Unusual_Sounds,Maneuverability,Shield_Response_Time,Hull_Integrity,Plasma_Leak,Coolant_Level,Brake_Fluid_Level,Plasma_Color,Plasma_Flux_Viscosity
Galactic Avenger,92K Lightyears,Quantum Thrusters,Interstellar Maintenance Agreement,7 Crew Members,Antimatter,SPC-XXXX5,"CR490,000 Credits","₱143,080.00","₱22,311.33","Family Car
First Owner
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Heavy Damage,Malfunctioning,Overheating,No Damage,No Damage,No Damage,No Damage,Heavy Damage,Worn Out,Malfunctioning,Partial Failure,No Damage,,,,,,,,,,,,,,,,,,,,No,No,No,,,,Intact,No Leak,,,,
Lunar Explorer,23K Lightyears,Quantum Thrusters,Interstellar Maintenance Agreement,20 Crew Members,Dark Matter,SPC-XXXX1,"CR1,390,000 Credits","₱405,880.00","₱63,291.33","Negotiable
Family Car
First Owner
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,No Damage,No Damage,Leaking,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,No Damage,No Damage,No Damage,No Damage,Overheating,No Damage,No Damage,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Fabric,Rotary,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Above Minimum,Above Minimum,Amber,Thin
Stellar Glider,80.9K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX8,"CR490,000 Credits","₱143,080.00","₱22,311.33","Negotiable
5-Seater Car
First Owner
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair",No Damage,No Damage,Leaking,No Damage,No Damage,No Damage,No Damage,Partial Failure,No Damage,Heavy Damage,Malfunctioning,No Damage,No Damage,No Damage,Functional,Fractured,No Damage,No Damage,No Damage,80%,80%,80%,80%,Without,0-29%,Good,Good,Good,Good,Good,Fabric,Rotary,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,Yes,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Above Minimum,Above Minimum,Yellow,Thin
Meteorite Shadow,78.1K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX7,"CR400,000 Credits",,,"Negotiable
5-Seater Car
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,Flickering,Partial Failure,No Damage,No Damage,Heavy Damage,Deteriorated,Deteriorated,No Damage,Worn Out,No Damage,Replacement Needed,Leaking,No Damage,No Damage,No Damage,No Damage,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Rotary,Good,Functional/Original,Functional/Original,Good,Poor,Poor,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Above Minimum,Above Minimum,Dark Brown,Thick
Cosmic Stalker,96.9K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX3,"CR385,000 Credits","₱112,420.00","₱17,530.33","Negotiable
5-Seater Car
First Owner
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair",No Damage,No Damage,Deteriorated,No Damage,Worn Out,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Heavy Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Flickering,No Damage,50%,50%,50%,50%,With,80%,Good,Good,Good,Good,Good,Fabric,Rotary,Good,Functional/Original,Functional/Original,Damaged/Missing,Very Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Above Minimum,Above Minimum,Dark Brown,Thick
Nebula Chaser,84K Lightyears,Graviton Drive,Galactic Care Plan,9 Crew Members,Dark Matter,SPC-1564,CR628K Credits,"₱190,879.00","₱31,010.00",Advanced Interstellar Features,Minor Scratches,Enhanced Propulsion,Reinforced Hull,Yes,Yes,Not Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,96%,96%,96%,96%,96%,Requires Maintenance,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Damaged,Malfunctioning,Non-Operational,Damaged,Damaged,Operational,Optimal,Weak,Yes,None,Yes,Unknown Source,Enhanced Maneuverability,Advanced Shield Response,Intact,No Leak,Optimal,Maximum,Red,Thin
Quantum Specter,87K Lightyears,Ion Thruster,Interstellar Maintenance Agreement,10 Crew Members,Antimatter,SPC-3795,CR763K Credits,"₱391,260.00","₱47,669.00",Advanced Interstellar Features,Hull Dents,Enhanced Propulsion,Advanced Navigation Systems,Yes,Yes,Not Required,Cracked,Cracked,Cracked,Cracked,Minor Damage,Minor Damage,Functional,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,57%,57%,57%,57%,57%,Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Damaged,Partially Functional,Non-Operational,Pristine,Pristine,Operational,Suboptimal,Optimal,Yes,Mild,Yes,Unknown Source,Advanced Maneuverability,Rapid Shield Response,Severe Damage,Minor Leak,Optimal,Low,Blue,Medium
Starblade Nova,41K Lightyears,Ion Thruster,Galactic Care Plan,3 Crew Members,Fusion Core,SPC-3281,CR408K Credits,"₱311,677.00","₱34,176.00",Enhanced Combat Features,None,None,Reinforced Hull,No,Yes,Not Required,Scratched,Scratched,Scratched,Scratched,Minor Damage,Minor Damage,Functional,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,68%,68%,68%,68%,68%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Pristine,Fully Functional,Operational,Damaged,Damaged,Damaged,Suboptimal,Weak,Yes,Mild,No,,Standard Maneuverability,Advanced Shield Response,Intact,Minor Leak,Low,Optimal,Blue,Thin
Cosmic Crusader,120K Lightyears,Graviton Drive,Cosmic Shield Coverage,7 Crew Members,Solar Array,SPC-2753,CR694K Credits,"₱284,663.00","₱25,834.00",Standard Spacecraft Features,Minor Scratches,Weaponized Plasma Cannons,Advanced Navigation Systems,No,Yes,Not Required,Scratched,Scratched,Scratched,Scratched,Intact,Intact,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,83%,83%,83%,83%,83%,Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Pristine,Fully Functional,Non-Operational,Damaged,Damaged,Operational,Optimal,Weak,No,None,No,,Standard Maneuverability,Rapid Shield Response,Severe Damage,Minor Leak,Maximum,Maximum,Blue,Thick
Eclipse Hunter,132K Lightyears,Graviton Drive,Cosmic Shield Coverage,3 Crew Members,Antimatter,SPC-1095,CR751K Credits,"₱219,582.00","₱30,476.00",Advanced Interstellar Features,None,None,Advanced Navigation Systems,Yes,No,Required,Cracked,Cracked,Cracked,Cracked,Minor Damage,Minor Damage,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,80%,80%,80%,80%,80%,Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Worn,Malfunctioning,Non-Operational,Damaged,Damaged,Operational,Suboptimal,Optimal,No,None,Yes,Core Reactor,Enhanced Maneuverability,Advanced Shield Response,Severe Damage,Minor Leak,Optimal,Optimal,Yellow,Thin
Galactic Explorer,56K Lightyears,Ion Thruster,Galactic Care Plan,4 Crew Members,Antimatter,SPC-5351,CR497K Credits,"₱144,793.00","₱36,329.00",Standard Spacecraft Features,Plasma Burns,None,Advanced Navigation Systems,No,Yes,Not Required,Clear,Clear,Clear,Clear,Intact,Intact,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,78%,78%,78%,78%,78%,Operational,Operational,Operational,Operational,Operational,Operational,Damaged,Partially Functional,Operational,Worn,Worn,Damaged,Suboptimal,Weak,No,Severe,No,,Standard Maneuverability,Advanced Shield Response,Severe Damage,Severe Leak,Maximum,Low,Yellow,Medium
Photon Comet,21K Lightyears,Photon Pulse,Cosmic Shield Coverage,5 Crew Members,Dark Matter,SPC-1959,CR273K Credits,"₱333,107.00","₱49,126.00",Advanced Interstellar Features,Plasma Burns,Weaponized Plasma Cannons,Advanced Navigation Systems,Yes,Yes,Not Required,Clear,Clear,Clear,Clear,Severe Damage,Severe Damage,Damaged,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Functional,Functional,82%,82%,82%,82%,82%,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Non-Operational,Damaged,Malfunctioning,Non-Operational,Worn,Worn,Operational,Suboptimal,Weak,Yes,Mild,Yes,Core Reactor,Standard Maneuverability,Rapid Shield Response,Intact,No Leak,Low,Optimal,Blue,Thin
Astro Vortex,100K Lightyears,Ion Thruster,Cosmic Shield Coverage,6 Crew Members,Antimatter,SPC-9634,CR626K Credits,"₱253,965.00","₱42,409.00",Advanced Interstellar Features,Hull Dents,None,Reinforced Hull,Yes,Yes,Not Required,Clear,Clear,Clear,Clear,Severe Damage,Severe Damage,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,62%,62%,62%,62%,62%,Requires Maintenance,Operational,Operational,Operational,Operational,Operational,Damaged,Malfunctioning,Operational,Damaged,Damaged,Damaged,Suboptimal,Optimal,Yes,None,No,,Advanced Maneuverability,Standard Shield Response,Intact,Severe Leak,Maximum,Low,Yellow,Thin
Celestial Harbinger,86K Lightyears,Photon Pulse,Galactic Care Plan,3 Crew Members,Antimatter,SPC-2592,CR457K Credits,"₱305,133.00","₱25,130.00",Standard Spacecraft Features,Plasma Burns,Upgraded Shielding,Reinforced Hull,No,No,Not Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Damaged,Operational,Operational,Operational,Operational,Functional,Functional,71%,71%,71%,71%,71%,Operational,Operational,Operational,Operational,Operational,Operational,Damaged,Partially Functional,Operational,Damaged,Damaged,Operational,Optimal,Optimal,Yes,Severe,Yes,Core Reactor,Enhanced Maneuverability,Standard Shield Response,Severe Damage,Minor Leak,Optimal,Low,Red,Medium
Void Voyager,20K Lightyears,Quantum Slipstream,Interstellar Maintenance Agreement,9 Crew Members,Quantum Reactor,SPC-6370,CR804K Credits,"₱397,764.00","₱26,308.00",Enhanced Combat Features,Minor Scratches,Upgraded Shielding,Enhanced Shielding,Yes,Yes,Required,Cracked,Cracked,Cracked,Cracked,Intact,Intact,Damaged,Operational,Operational,Operational,Operational,Non-Functional,Non-Functional,66%,66%,66%,66%,66%,Non-Operational,Operational,Operational,Operational,Operational,Operational,Worn,Fully Functional,Operational,Worn,Worn,Operational,Optimal,Optimal,No,Mild,Yes,Core Reactor,Enhanced Maneuverability,Advanced Shield Response,Intact,Severe Leak,Optimal,Optimal,Green,Thick
Nebula Drifter,39K Lightyears,Graviton Drive,Interstellar Maintenance Agreement,9 Crew Members,Antimatter,SPC-8838,CR333K Credits,"₱103,151.00","₱26,771.00",Advanced Interstellar Features,Hull Dents,None,Reinforced Hull,No,Yes,Not Required,Clear,Clear,Clear,Clear,Severe Damage,Severe Damage,Functional,Operational,Operational,Operational,Operational,Functional,Functional,72%,72%,72%,72%,72%,Requires Maintenance,Operational,Operational,Operational,Operational,Operational,Pristine,Partially Functional,Operational,Pristine,Pristine,Damaged,Optimal,Weak,Yes,Mild,Yes,Core Reactor,Enhanced Maneuverability,Advanced Shield Response,Minor Damage,Minor Leak,Low,Optimal,Blue,Medium
